student_id,tests_passed,tests_total,score_percentage,semantic_summary,code_snippet
B25MT020_q3,0,10,0.00,N/A,"def countvowels(input_string):\n    vowels = ""aeiouAEIOU""\n    count = 0\n    for char in input_string :\n        if char in vowels:\n            count+=1\n    return count\n    pass\ninput_string = input(""enter the string"")\nprint(""number of vowels = "",countvowels(input_string))"
B25MT008_q3,0,10,0.00,N/A,"vowels=[""a"",""e"",""i"",""o"",""u"",""A"",""E"",""I"",""O"",""U""]\n\ndef count_vowels(text):\n    l=len(text)\n    count=0\n    for i in range(l):\n        if text[i]==""a"":\n            count+=1\n        elif text[i]==""A"":\n            count+=1\n        elif text[i]==""e"":\n            count+=1\n        elif text[i]==""E"":\n            count+=1\n        elif text[i]==""i"":\n            count+=1\n        elif text[i]==""I"":\n            count+=1        \n        elif text[i]==""o"":\n            count+=1            \n        elif text[i]==""O"":\n            count+=1            \n        elif text[i]==""u"":\n            count+=1            \n        elif text[i]==""U"":\n            count+=1\n    print(count)         \n            \ntext=input(""Enter the word: "")\ncount_vowels(text)\n        "
B25MT026_q3,10,10,100.00,N/A,"def count_vowels(text):\n    """"""Counts the number of vowels in a string. The function is case-insensitive.""""""\n\n    n = 0\n    for i in text:\n        if i.lower() in 'aeiou':\n            n += 1\n\n    return n\n\n# print(count_vowels(""Hello World"")) # 3\n# print(count_vowels(""PYTHON"")) # 1\n# print(count_vowels(""Rhythm"")) # 0"
q3 B25ME017,0,10,0.00,N/A,"#vowels\ndef count_vowels(s:str):\n    a=s.count(""a"") + s.count(""A"")\n    e=s.count(""e"") + s.count(""E"")\n    i=s.count(""i"") + s.count(""I"")\n    o=s.count(""o"")+  s.count(""O"")\n    u=s.count(""u"")+  s.count(""U"")\n    print(a+e+i+o+u)\ncount_vowels(""Hello world"")\ncount_vowels(""PYTHON"")\ncount_vowels(""Rhythm"")"
S25MA001_q3,0,10,0.00,N/A,"def count_vowels(text):\n    """"""\n    Counts the number of vowels (a, e, i, o, u) in a string.\n    The function is case-insensitive.\n    """"""\n    vowels = ""aeiou""\n    count = 0\n    for char in text.lower():\n        if char in vowels:\n            count += 1\n    return count\n\n# Test cases\nprint(""Vowels in 'Hello World':"", count_vowels(""Hello World""))  # Output: 3\nprint(""Vowels in 'PYTHON':"", count_vowels(""PYTHON""))            # Output: 1\nprint(""Vowels in 'Rhythm':"", count_vowels(""Rhythm""))            # Output: 0"
q3 B25ME046,0,10,0.00,N/A,"def count_vowels(v:str):\n    \n    p=(""a"",""e"",""i"",""o"",""u"",""A"",""E"",""I"",""O"",""U"")\n    count=0\n    for char in v:\n        if char in p:\n            count=count+1\n    print( count)\ncount_vowels(""Hello World "")\ncount_vowels(""PYTHON"")\ncount_vowels(""Rythm"")"
B25MT018_q3,0,10,0.00,N/A,"def count_vowel(text):\n    k=text.upper()\n    a=k.count(""A"")\n    e=k.count(""E"")\n    i=k.count(""I"")\n    o=k.count(""O"")\n    u=k.count(""U"")\n    sum=a+e+i+o+u\n    return sum"
B25MT024_q3,0,10,0.00,N/A,"def count_vowels(text):\n    """""" Counts the number of vowels in a string.""""""\n    \n    vowels=""aeiouAEIOU""\n    count=0\n    for char in text:\n        if char in vowels:\n            count=count+1\n    return count\n\nprint(count_vowels(""Hello World""))\nprint(count_vowels(""PYTHON""))\nprint(count_vowels(""Rhythm""))"
q3 B25ME030,0,10,0.00,N/A,"def count_vowels(v:str):\n    \n    p=(""a"",""e"",""i"",""o"",""u"",""A"",""E"",""I"",""O"",""U"")\n    count=0\n    for char in v:\n        if char in p:\n            count=count+1\n    return count\nprint(count_vowels(""Rhythm""))\nprint(count_vowels(""PYTHON""))"
S25MA002_Q3,0,10,0.00,N/A,def count_vowels(text):\n    \n    total = 0\n    for i in text:\n        if i == 'a'or i == 'e'or i == 'i'or i == 'o'or i == 'u':\n            total =  total +1\n        elif i == 'A'or i == 'E'or i == 'I'or i == 'O'or i == 'U':\n            total = total + 1\n    print(total)\n        \nt=input('Enter the text: ')\ncount_vowels(t)
Q3_B25MM026,10,10,100.00,N/A,def count_vowels(s):\n    c=0\n    for i in list(s):\n        if i.lower() in ('aeiou'):\n            c+=1\n    print(c)
B25MT027_q3,0,10,0.00,N/A,"def count_vowels(text):\n    count=0\n    for i in text:\n        if(i=='a' or i=='A'):\n            count+=1\n        elif(i=='e' or i=='E'):\n            count+=1\n        elif(i=='i' or i=='I'):\n            count+=1\n        elif(i=='o' or i=='O'):\n            count+=1\n        elif(i=='u' or i=='U'):\n            count+=1\n    return count\ntext=str(input('Enter a word'))\nprint(count_vowels(text))\n""""""\nCounts the number of vowels (a, e, i, o, u) in a string.\nThe function should be case-insensitive.\n""""""\n        \n"
B25MT017_q3,0,10,0.00,N/A,"\ndef count_vowels(let):\n    vowels =""AEIOUaeiou""\n    count = 0\n    for char in let:\n        if char in vowels:\n            count += 1\n        \n    return count\nprint(count_vowels(""Dheeraj""))\nprint(count_vowels(""HELLO WORLD""))\nprint(count_vowels(""PYTHON""))\nprint(count_vowels(""Rhythm""))"
B25MT005_q3,10,10,100.00,N/A,"def count_vowels(text):\n    """"""\n    Counts the number of vowels (a, e, i, o, u) in a string.\n    The function should be case-insensitive.\n    """"""\n    vowels = ""AaEeIiOoUu""\n    count = 0 # As count starts with 0\n    for letter in text:\n        if letter in vowels:\n            count += 1 # Count upto the last vowel in that letter\n    return count # Output will be total no of vowels\n       \n''' to make it user friendly\ni = str(input('Enter the word: '))\nprint(count_vowels(i))\n'''\n\n"
B25MT021_q3,0,10,0.00,N/A,"i=str(input(""Enter a Word : ""))\nvowels=[""a"",""e"",""i"",""o"",""u"",""A"",""E"",""I"",""O"",""U""]\ncount=0\nfor char in i:\n if char in vowels:\n  count=count+1\n \nprint(""Number of Vowels in Word {i} are:"",count)     \n\n\n\n\n\n "
S25MA016_Q3,0,10,0.00,N/A,"\ndef count_vowels(text):\n    """"""\n        Counts the number of vowels(a,e,i,o,u) in a string.\n        The function should be case-insensitive.\n        """"""\n    vowels='aeiou'\n    count=0\n    for ch in text.lower():\n        if ch in vowels:\n            count+=1\n    return count\nprint(count_vowels(""HELLO WORLD""))\nprint(count_vowels(""PYTHON""))\nprint(count_vowels(""Rhythm""))\nprint(count_vowels(""SupriyA""))"
B25MT022_q3,10,10,100.00,N/A,def count_vowels(s):\n    c=0\n    for i in list(s):\n        if i.lower() in ('aeiou'):\n            c+=1\n    print(c)
B25MT009_Q3,0,10,0.00,N/A,"s = input(""Enter a string: "")\ns.lower()\ndef count_vowels(text):\n    count = 0\n    for c in text:\n        if c == 'a' or c == 'e' or c == 'i' or c == 'o' or c == 'u':\n            count += 1\n    return count\n\nprint(count_vowels(s))"
B25MT025_q3,0,10,0.00,N/A,"def count_vowels(text):\n    restriction=[""a"",""e"",""i"",""o"",""u"",""A"",""E"",""I"",""O"",""U""]\n    vowels=0\n    l=len(text)\n    for m in range(l):\n        for n in range(10):\n            if text[m]==restriction[n]:\n                vowels=vowels+1\n    print(vowels)        \ntext=input(""Whats your word "")\ncount_vowels(text)"
B25MT019_q3,0,10,0.00,N/A,"#B25MT019_q3\ndef count_vowel(s):\n    s=s.lower()#converted the string in lower case to compare \n    v=0\n    for chr in s:# took charater from the string and compare it with aeiou\n        if chr==""a"" or chr==""e""or chr==""i""or chr==""o""or chr==""u"":\n            v+=1\n    print(""The number of vowels:"",v)\nst=input(""Enter a word"")\ncount_vowel(st)"
B25MT010_q3 (2),0,10,0.00,N/A,"t=input(""Enter the text: "")\ndef count_vowels():\n    """"""\n       Counts the number of vowels (a, e, i, o, u) in a string.\n       \n    """"""   \n    count=0\n    alp=[""a"",""e"",""i"",""o"",""u""]\n    for i in t:\n        for v in range(5):\n            if i==alp[v]:\n                count+=1\n            else:\n                continue\n    print(""number of vowels: "",count)        \nprint(count_vowels())            "
q3,0,10,0.00,N/A,"def count_vowels(text):\n    count = 0\n    for ch in text:\n        if ch.upper() in [""A"",""E"",""I"",""O"",""U""]:\n            count += 1\n        else:\n            pass    \n    return count    \n\ntext = input(""give a sample string:\n"")\nprint(count_vowels(text))"
B25MT006_q3,0,10,0.00,N/A,"#count_vowels_in_a_string\nname = input('enter a string').lower()\nvowels = ['a','e','i','o','u']\ndef count_vowels(text):\n    no_of_vowels = 0\n    for i in range(5):\n        no_of_vowels += name.count(vowels[i])\n    print(no_of_vowels)\ncount_vowels(name)        "
Q3,0,10,0.00,N/A,"def swap_numbers(a, b):\n    a, b = b, a\n    return (a, b)  \n    pass\nx = int(input(""Enter first number: ""))\ny = int(input(""Enter second number: ""))\nresult = swap_numbers(x, y)\nprint(""Swapped numbers:"", result)"
B25MT029_q3,0,10,0.00,N/A,"i = {'a','e','i','o','u', }\ndef count_vowels(text):\n    count = 0\n    lst = list(text)\n    for k in lst:\n        if str(k).lower() in i:\n            count += 1\n    return count\nprint(count_vowels(input()))\n    "
